pick,team_abbr
1,CLE
2,SF
3,CHI
4,JAX
5,TEN 
6,NYJ
7,LAC
8,CAR
9,CIN
10,BUF
11,NO
12,CLE
13,ARI
14,PHI
15,IND
16,BAL
17,WSH
18,TEN
19,TB
20,DEN
21,DET
22,MIA
23,NYG
24,OAK
25,HOU
26,SEA
27,KC
28,DAL
29,GB
30,PIT
31,ATL
32,NO
33,CLE
34,SF
35,JAX
36,CHI
37,LAR
38,LAC
39,NYJ
40,CAR
41,CIN
42,NO
43,PHI
44,BUF
45,ARI
46,IND
47,BAL
48,MIN
49,WSH
50,TB
51,DEN
52,CLE
53,DET
54,MIA
55,NYG
56,OAK
57,HOU
58,SEA
59,KC
60,DAL
61,GB
62,PIT
63,ATL
64,CAR
65,CLE
66,SF
67,CHI
68,JAX
69,LAR
70,NYJ
71,LAC
72,NE
73,CIN
74,BAL
75,BUF
76,NO
77,ARI
78,BAL
79,MIN
80,IND
81,WSH
82,DEN
83,TEN
84,TB
85,DET
86,MIN 
87,NYG
88,OAK
89,HOU
90,SEA
91,KC
92,DAL
93,GB
94,PIT
95,ATL
96,NE
97,MIA 
98,CAR 
99,PHI
100,TEN 
101,DEN 
102,SEA 
103,NO 
104,KC 
105,PIT 
106,SEA 
107,NYJ 
108,CLE
109,SF
110,JAX
111,CHI
112,LAR
113,LAC
114,WSH
115,CAR
116,CIN
117,CHI
118,PHI
119,ARI
120,MIN
121,IND
122,BAL
123,WSH
124,TEN
125,TB
126,DEN
127,DET
128,MIN
129,OAK
130,HOU
131,NE
132,KC
133,DAL
134,GB
135,PIT
136,ATL
137,IND
138,CIN 
139,PHI
140,NYG
141,LAR 
142,HOU
143,SF 
144,IND 
145,CLE
146,SF
147,CHI
148,JAX
149,LAR
150,NYJ
151,LAC
152,CAR
153,CIN
154,WSH
155,PHI
156,BUF
157,ARI
158,IND
159,BAL
160,MIN
161,SF
162,TB
163,BUF
164,TEN
165,DET
166,MIA
167,NYG
168,OAK
169,HOU
170,KC
171,BUF
172,GB
173,PIT
174,ATL
175,CLE
176,CIN 
177,DEN 
178,MIA 
179,ARI 
180,KC 
181,CLE 
182,GB 
183,NE 
184,MIA 
185,CLE
186,BAL
187,JAX
188,CLE
189,LAR
190,LAC
191,NYJ
192,CAR
193,CIN
194,PHI
195,BUF
196,NO
197,ARI
198,SF
199,MIN
200,NE
201,WSH
202,SF
203,DEN
204,TB
205,DET
206,LAR
207,NYG
208,OAK
209,WSH
210,SEA
211,DAL
212,GB
213,PIT
214,TEN
215,DET
216,KC 
217,CIN 
218,KC 
219,SF
220,WSH
221,CHI
222,JAX
223,MIA
224,NYJ
225,LAC
226,SEA
227,CIN
228,DAL
229,NO
230,PHI
231,ARI
232,MIN
233,CAR
234,LAR
235,WSH
236,TEN
237,TB
238,DEN
239,NE
240,MIA
241,NYG
242,OAK
243,HOU
244,OAK
245,KC
246,DAL
247,GB
248,PIT
249,ATL
250,DET
251,CIN 
252,DEN 
253,DEN 